model;cv_best_f1;accuracy;precision;recall;f1;roc_auc;train_tune_time_sec;prediction_time_sec;best_params;status;error
Random Forest;0.9735216195836311;0.9725655712993669;0.9670212765957447;0.9842988630211154;0.9755835792862892;0.9975702462901783;586.9462025000248;0.1631004000082612;"{""model__max_depth"": 20, ""model__max_features"": ""log2"", ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}";success;
SVM;0.9710484831366568;0.9692493216762135;0.9648375066595631;0.9805089334055225;0.972610096670247;0.9875569502300108;465.1560624000849;0.9769660999299958;"{""model__C"": 10, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}";success;
KNN;0.9675284905187393;0.9632197769068436;0.96;0.9745533297238765;0.9672219236969372;0.9933405522468868;5.4552948999917135;2.4894217000110075;"{""model__metric"": ""minkowski"", ""model__n_neighbors"": 11, ""model__p"": 1, ""model__weights"": ""distance""}";success;
Decision Tree;0.9625834238484083;0.962315345191438;0.9629032258064516;0.9696805630752572;0.9662800107903965;0.9752639875657897;14.090261799981818;0.0038204999873414636;"{""model__criterion"": ""gini"", ""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__min_samples_split"": 2}";success;
Logistic Regression;0.93601484878212;0.9276454627675611;0.9289909236518954;0.9420682187330807;0.9354838709677419;0.9787231730808187;7.458409899962135;0.004446399980224669;"{""model__C"": 0.1, ""model__penalty"": ""l1""}";success;
